"""20 Microns Limited""","""20MICRONS"""
"""Plastiblends India Limited""","""PLASTIBLEN"""
"""Punjab National Bank""","""PNB"""
"""PNB Gilts Limited""","""PNBGILTS"""
"""PNB Housing Finance Limited""","""PNBHOUSING"""
"""Pritish Nandy Communications Limited""","""PNC"""
"""PNC Infratech Limited""","""PNCINFRA"""
"""Pochiraju Industries Limited""","""POCHIRAJU"""
"""Poddar Housing and Development Limited""","""PODDARHOUS"""
"""Poddar Pigments Limited""","""PODDARMENT"""
"""Pokarna Limited""","""POKARNA"""
"""POLARIS CONSULTING & SERVICES LIMITED""","""POLARIS"""
"""Poly Medicure Limited""","""POLYMED"""
"""Polyplex Corporation Limited""","""POLYPLEX"""
"""Ponni Sugars (Erode) Limited""","""PONNIERODE"""
"""Power Grid Corporation of India Limited""","""POWERGRID"""
"""Power Mech Projects Limited""","""POWERMECH"""
"""PPAP Automotive Limited""","""PPAP"""
"""Prabhat Dairy Limited""","""PRABHAT"""
"""Pradip Overseas Limited""","""PRADIP"""
"""Prajay Engineers Syndicate Limited""","""PRAENG"""
"""Praj Industries Limited""","""PRAJIND"""
"""Prakash Industries Limited""","""PRAKASH"""
"""Prakash Constrowell Limited""","""PRAKASHCON"""
"""Prakash Steelage Limited""","""PRAKASHSTL"""
"""Pratibha Industries Limited""","""PRATIBHA"""
"""Precision Camshafts Limited""","""PRECAM"""
"""Precot Meridian Limited""","""PRECOT"""
"""Precision Wires India Limited""","""PRECWIRE"""
"""Premier Explosives Limited""","""PREMEXPLN"""
"""Premier Limited""","""PREMIER"""
"""Premier Polyfilm Limited""","""PREMIERPOL"""
"""Pressman Advertising Limited""","""PRESSMN"""
"""Prestige Estates Projects Limited""","""PRESTIGE"""
"""Pricol Limited""","""PRICOLLTD"""
"""Prime Securities Limited""","""PRIMESECU"""
"""Prism Cement Limited""","""PRISMCEM"""
"""Provogue (India) Limited""","""PROVOGE"""
"""Prozone Intu Properties Limited""","""PROZONINTU"""
"""Punjab & Sind Bank""","""PSB"""
"""PSL Limited""","""PSL"""
"""PSP Projects Limited""","""PSPPROJECT"""
"""PTC India Limited""","""PTC"""
"""PTL Enterprises Limited""","""PTL"""
"""Punjab Chemicals & Crop Protection Limited""","""PUNJABCHEM"""
"""Punj Lloyd Limited""","""PUNJLLOYD"""
"""Puravankara Limited""","""PURVA"""
"""PVP Ventures Limited""","""PVP"""
"""PVR Limited""","""PVR"""
"""Quess Corp Limited""","""QUESS"""
"""Quick Heal Technologies Limited""","""QUICKHEAL"""
"""Quintegra Solutions Limited""","""QUINTEGRA"""
"""Radaan Mediaworks India Limited""","""RADAAN"""
"""Radico Khaitan Limited""","""RADICO"""
"""Music Broadcast Limited""","""RADIOCITY"""
"""Rain Industries Limited""","""RAIN"""
"""Rainbow Papers Limited""","""RAINBOWPAP"""
"""Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited""","""RAIREKMOH"""
"""Rajesh Exports Limited""","""RAJESHEXPO"""
"""Raj Oil Mills Limited""","""RAJOIL"""
"""Raj Rayon Industries Limited""","""RAJRAYON"""
"""Rajshree Sugars & Chemicals Limited""","""RAJSREESUG"""
"""Raj Television Network Limited""","""RAJTV"""
"""Rajvir Industries Limited""","""RAJVIR"""
"""Rallis India Limited""","""RALLIS"""
"""Shree Rama Newsprint Limited""","""RAMANEWS"""
"""Rama Steel Tubes Limited""","""RAMASTEEL"""
"""The Ramco Cements Limited""","""RAMCOCEM"""
"""Ramco Industries Limited""","""RAMCOIND"""
"""Ramco Systems Limited""","""RAMCOSYS"""
"""Ramky Infrastructure Limited""","""RAMKY"""
"""Ramsarup Industries Limited""","""RAMSARUP"""
"""Rana Sugars Limited""","""RANASUG"""
"""Rane Engine Valve Limited""","""RANEENGINE"""
"""Rane Holdings Limited""","""RANEHOLDIN"""
"""Rasoya Proteins Limited""","""RASOYPR"""
"""Ratnamani Metals & Tubes Limited""","""RATNAMANI"""
"""Raymond Limited""","""RAYMOND"""
"""Rane Brake Lining Limited""","""RBL"""
"""RBL Bank Limited""","""RBLBANK"""
"""Rashtriya Chemicals and Fertilizers Limited""","""RCF"""
"""Reliance Communications Limited""","""RCOM"""
"""Reliance Defence and Engineering Limited""","""RDEL"""
"""Rural Electrification Corporation Limited""","""RECLTD"""
"""Redington (India) Limited""","""REDINGTON"""
"""Refex Industries Limited""","""REFEX"""
"""Regency Ceramics Limited""","""REGENCERAM"""
"""Rei Agro Limited""","""REIAGROLTD"""
"""Relaxo Footwears Limited""","""RELAXO"""
"""Reliance Capital Limited""","""RELCAPITAL"""
"""Reliance Industries Limited""","""RELIANCE"""
"""Religare Enterprises Limited""","""RELIGARE"""
"""Reliance Infrastructure Limited""","""RELINFRA"""
"""Remsons Industries Limited""","""REMSONSIND"""
"""Shree Renuka Sugars Limited""","""RENUKA"""
"""Repco Home Finance Limited""","""REPCOHOME"""
"""Repro India Limited""","""REPRO"""
"""Responsive Industries Limited""","""RESPONIND"""
"""Revathi Equipment Limited""","""REVATHI"""
"""Rico Auto Industries Limited""","""RICOAUTO"""
"""Reliance Industrial Infrastructure Limited""","""RIIL"""
"""Renaissance Jewellery Limited""","""RJL"""
"""Ravi Kumar Distilleries Limited""","""RKDL"""
"""Ramkrishna Forgings Limited""","""RKFORGE"""
"""Radha Madhav Corporation Limited""","""RMCL"""
"""Rane (Madras) Limited""","""RML"""
"""Rohit Ferro-Tech Limited""","""ROHITFERRO"""
"""Royal Orchid Hotels Limited""","""ROHLTD"""
"""Rollatainers Limited""","""ROLLT"""
"""Rolta India Limited""","""ROLTA"""
"""Rossell India Limited""","""ROSSELLIND"""
"""RPG Life Sciences Limited""","""RPGLIFE"""
"""Reliance Power Limited""","""RPOWER"""
"""R.P.P. Infra Projects Limited""","""RPPINFRA"""
"""R. S. Software (India) Limited""","""RSSOFTWARE"""
"""RSWM Limited""","""RSWM"""
"""R Systems International Limited""","""RSYSTEMS"""
"""RattanIndia Infrastructure Limited""","""RTNINFRA"""
"""RattanIndia Power Limited""","""RTNPOWER"""
"""The Ruby Mills Limited""","""RUBYMILLS"""
"""Ruchi Infrastructure Limited""","""RUCHINFRA"""
"""Ruchira Papers Limited""","""RUCHIRA"""
"""Ruchi Soya Industries Limited""","""RUCHISOYA"""
"""Rupa & Company Limited""","""RUPA"""
"""Rushil Decor Limited""","""RUSHIL"""
"""Sab Events & Governance Now Media Limited""","""SABEVENTS"""
"""Sri Adhikari Brothers Television Network Limited""","""SABTN"""
"""Sadbhav Engineering Limited""","""SADBHAV"""
"""Sadbhav Infrastructure Project Limited""","""SADBHIN"""
"""Sagar Cements Limited""","""SAGCEM"""
"""Steel Authority of India Limited""","""SAIL"""
"""Sakthi Sugars Limited""","""SAKHTISUG"""
"""Saksoft Limited""","""SAKSOFT"""
"""Sakuma Exports Limited""","""SAKUMA"""
"""Salona Cotspin Limited""","""SALONA"""
"""Salora International Limited""","""SALORAINTL"""
"""S.A.L. Steel Limited""","""SALSTEEL"""
"""Salzer Electronics Limited""","""SALZERELEC"""
"""Sambhaav Media Limited""","""SAMBHAAV"""
"""Samtel Color Limited""","""SAMTEL"""
"""Sanco Industries Limited""","""SANCO"""
"""The Sandesh Limited""","""SANDESH"""
"""Sangam (India) Limited""","""SANGAMIND"""
"""Sanghi Industries Limited""","""SANGHIIND"""
"""Sanghvi Forging and Engineering Limited""","""SANGHVIFOR"""
"""Sanghvi Movers Limited""","""SANGHVIMOV"""
"""Sanofi India Limited""","""SANOFI"""
"""Sanwaria Agro Oils Limited""","""SANWARIA"""
"""Sarda Energy & Minerals Limited""","""SARDAEN"""
"""Saregama India Limited""","""SAREGAMA"""
"""Sarla Performance Fibers Limited""","""SARLAPOLY"""
"""Sasken Technologies Limited""","""SASKEN"""
"""Sastasundar Ventures Limited""","""SASTASUNDR"""
"""Sathavahana Ispat Limited""","""SATHAISPAT"""
"""Satin Creditcare Network Limited""","""SATIN"""
"""State Bank of India""","""SBIN"""
"""S Chand And Company Limited""","""SCHAND"""
"""Schneider Electric Infrastructure Limited""","""SCHNEIDER"""
"""Shipping Corporation Of India Limited""","""SCI"""
"""Som Distilleries & Breweries Limited""","""SDBL"""
"""Seamec Limited""","""SEAMECLTD"""
"""S.E. Investments Limited""","""SEINV"""
"""Selan Exploration Technology Limited""","""SELAN"""
"""SEL Manufacturing Company Limited""","""SELMCL"""
"""S.E. Power Limited""","""SEPOWER"""
"""Sequent Scientific Limited""","""SEQUENT"""
"""Servalakshmi Paper Limited""","""SERVALL"""
"""Seshasayee Paper and Boards Limited""","""SESHAPAPER"""
"""Setco Automotive Limited""","""SETCO"""
"""Sezal Glass Limited""","""SEZAL"""
"""Sheela Foam Limited""","""SFL"""
"""Shree Ganesh Forgings Limited""","""SGFL"""
"""STL Global Limited""","""SGL"""
"""Shah Alloys Limited""","""SHAHALLOYS"""
"""Shakti Pumps (India) Limited""","""SHAKTIPUMP"""
"""Shalimar Paints Limited""","""SHALPAINTS"""
"""Shankara Building Products Limited""","""SHANKARA"""
"""Shanthi Gears Limited""","""SHANTIGEAR"""
"""Sharda Cropchem Limited""","""SHARDACROP"""
"""Sharda Motor Industries Limited""","""SHARDAMOTR"""
"""Sharon Bio-Medicine Limited""","""SHARONBIO"""
"""Shemaroo Entertainment Limited""","""SHEMAROO"""
"""Shilpa Medicare Limited""","""SHILPAMED"""
"""Shilpi Cable Technologies Limited""","""SHILPI"""
"""Shirpur Gold Refinery Limited""","""SHIRPUR-G"""
"""Shivam Autotech Limited""","""SHIVAMAUTO"""
"""Shiva Texyarn Limited""","""SHIVTEX"""
"""S H Kelkar and Company Limited""","""SHK"""
"""Shoppers Stop Limited""","""SHOPERSTOP"""
"""Shree Cements Limited""","""SHREECEM"""
"""Shree Pushkar Chemicals & Fertilisers Limited""","""SHREEPUSHK"""
"""Shree Rama Multi-Tech Limited""","""SHREERAMA"""
"""Shreyans Industries Limited""","""SHREYANIND"""
"""Shreyas Shipping & Logistics Limited""","""SHREYAS"""
"""Shriram Pistons & Rings Limited""","""SHRIPISTON"""
"""Shriram City Union Finance Limited""","""SHRIRAMCIT"""
"""Shriram EPC Limited""","""SHRIRAMEPC"""
"""Shyam Century Ferrous Limited""","""SHYAMCENT"""
"""Sicagen India Limited""","""SICAGEN"""
"""Sical Logistics Limited""","""SICAL"""
"""Siemens Limited""","""SIEMENS"""
"""Signet Industries Limited""","""SIGNET"""
"""Standard Industries Limited""","""SIL"""
"""SIL Investments Limited""","""SILINV"""
"""Simbhaoli Sugars Limited""","""SIMBHALS"""
"""Simplex Projects Limited""","""SIMPLEX"""
"""Simplex Infrastructures Limited""","""SIMPLEXINF"""
"""Sintex Industries Limited""","""SINTEX"""
"""Sita Shree Food Products Limited""","""SITASHREE"""
"""Siti Networks Limited""","""SITINET"""
"""Siyaram Silk Mills Limited""","""SIYSIL"""
"""SJVN Limited""","""SJVN"""
"""SKF India Limited""","""SKFINDIA"""
"""SKIL Infrastructure Limited""","""SKIL"""
"""Skipper Limited""","""SKIPPER"""
"""SKM Egg Products Export (India) Limited""","""SKMEGGPROD"""
"""Smartlink Network Systems Limited""","""SMARTLINK"""
"""SML Isuzu Limited""","""SMLISUZU"""
"""Splendid Metal Products Limited""","""SMPL"""
"""SMS Pharmaceuticals Limited""","""SMSPHARMA"""
"""Snowman Logistics Limited""","""SNOWMAN"""
"""Sobha Limited""","""SOBHA"""
"""Software Technology Group International Limited""","""SOFTTECHGR"""
"""Solar Industries India Limited""","""SOLARINDS"""
"""Somany Ceramics Limited""","""SOMANYCERA"""
"""Soma Textiles & Industries Limited""","""SOMATEX"""
"""Somi Conveyor Beltings Limited""","""SOMICONVEY"""
"""Sona Koyo Steering Systems Limited""","""SONASTEER"""
"""Sonata Software Limited""","""SONATSOFTW"""
"""SORIL Holdings and Ventures Limited""","""SORILHOLD"""
"""SORIL Infra Resources Limited""","""SORILINFRA"""
"""Savita Oil Technologies Limited""","""SOTL"""
"""The South Indian Bank Limited""","""SOUTHBANK"""
"""S. P. Apparels Limited""","""SPAL"""
"""Sun Pharma Advanced Research Company Limited""","""SPARC"""
"""Spacenet Enterprises India Limited""","""SPCENET"""
"""Speciality Restaurants Limited""","""SPECIALITY"""
"""Spentex Industries Limited""","""SPENTEX"""
"""Sphere Global Services Limited""","""SPHEREGSL"""
"""Southern Petrochemicals Industries Corporation  Limited""","""SPIC"""
"""Spice Mobility Limited""","""SPICEMOBI"""
"""SPL Industries Limited""","""SPLIL"""
"""SPML Infra Limited""","""SPMLINFRA"""
"""Shekhawati Poly-Yarn Limited""","""SPYL"""
"""SQS India BFSI Limited""","""SQSBFSI"""
"""Sreeleathers Limited""","""SREEL"""
"""SREI Infrastructure Finance Limited""","""SREINFRA"""
"""SRF Limited""","""SRF"""
"""Sree Rayalaseema Hi-Strength Hypo Limited""","""SRHHYPOLTD"""
"""Srikalahasthi Pipes Limited""","""SRIPIPES"""
"""SRS Limited""","""SRSLTD"""
"""Shriram Transport Finance Company Limited""","""SRTRANSFIN"""
"""Steel Strips Wheels Limited""","""SSWL"""
"""Stampede Capital Limited""","""STAMPEDE"""
"""Strides Shasun Limited""","""STAR"""
"""Star Cement Limited""","""STARCEMENT"""
"""Star Paper Mills Limited""","""STARPAPER"""
"""The State Trading Corporation of India Limited""","""STCINDIA"""
"""Stel Holdings Limited""","""STEL"""
"""Sterling Biotech Limited""","""STERLINBIO"""
"""Sterling Tools Limited""","""STERTOOLS"""
"""STI India Limited""","""STINDIA"""
"""Sterlite Technologies Limited""","""STRTECH"""
"""Subex Limited""","""SUBEX"""
"""Subros Limited""","""SUBROS"""
"""Sudarshan Chemical Industries Limited""","""SUDARSCHEM"""
"""Sujana Universal Industries Limited""","""SUJANAUNI"""
"""Sumeet Industries Limited""","""SUMEETINDS"""
"""Summit Securities Limited""","""SUMMITSEC"""
"""Sundaram Clayton Limited""","""SUNCLAYLTD"""
"""Sundaram Multi Pap Limited""","""SUNDARAM"""
"""Sundaram Finance Limited""","""SUNDARMFIN"""
"""Sundaram Brake Linings Limited""","""SUNDRMBRAK"""
"""Sundram Fasteners Limited""","""SUNDRMFAST"""
"""Sunflag Iron And Steel Company Limited""","""SUNFLAG"""
"""Sunil Hitech Engineers Limited""","""SUNILHITEC"""
"""Sun Pharmaceutical Industries Limited""","""SUNPHARMA"""
"""Sunteck Realty Limited""","""SUNTECK"""
"""Sun TV Network Limited""","""SUNTV"""
"""Superhouse Limited""","""SUPERHOUSE"""
"""Super Spinning Mills Limited""","""SUPERSPIN"""
"""Supreme Petrochem Limited""","""SUPPETRO"""
"""Suprajit Engineering Limited""","""SUPRAJIT"""
"""Supreme Industries Limited""","""SUPREMEIND"""
"""Supreme Infrastructure India Limited""","""SUPREMEINF"""
"""Supreme Tex Mart Limited""","""SUPREMETEX"""
"""Surana Corporation Limited""","""SURANACORP"""
"""Surana Industries Limited""","""SURANAIND"""
"""Surana Solar Limited""","""SURANASOL"""
"""Surana Telecom and Power Limited""","""SURANAT&P"""
"""Suryalakshmi Cotton Mills Limited""","""SURYALAXMI"""
"""Surya Roshni Limited""","""SURYAROSNI"""
"""Sutlej Textiles and Industries Limited""","""SUTLEJTEX"""
"""Suven Life Sciences Limited""","""SUVEN"""
"""Suzlon Energy Limited""","""SUZLON"""
"""Swan Energy Limited""","""SWANENERGY"""
"""Swaraj Engines Limited""","""SWARAJENG"""
"""Swelect Energy Systems Limited""","""SWELECTES"""
"""Symphony Limited""","""SYMPHONY"""
"""Syncom Healthcare Limited""","""SYNCOM"""
"""Syndicate Bank""","""SYNDIBANK"""
"""Syngene International Limited""","""SYNGENE"""
"""Tainwala Chemical and Plastic (I) Limited""","""TAINWALCHM"""
"""Taj GVK Hotels & Resorts Limited""","""TAJGVK"""
"""Take Solutions Limited""","""TAKE"""
"""Talbros Automotive Components Limited""","""TALBROAUTO"""
"""Talwalkars Better Value Fitness Limited""","""TALWALKARS"""
"""Tanla Solutions Limited""","""TANLA"""
"""Tantia Constructions Limited""","""TANTIACONS"""
"""Tara Jewels Limited""","""TARAJEWELS"""
"""Tarapur Transformers Limited""","""TARAPUR"""
"""Tarmat Limited""","""TARMAT"""
"""Tasty Bite Eatables Limited""","""TASTYBITE"""
"""Tata Chemicals Limited""","""TATACHEM"""
"""Tata Chemicals Limited""","""TATACHEM"""
"""Tata Coffee Limited""","""TATACOFFEE"""
"""Tata Communications Limited""","""TATACOMM"""
"""Tata Elxsi Limited""","""TATAELXSI"""
"""Tata Global Beverages Limited""","""TATAGLOBAL"""
"""Tata Investment Corporation Limited""","""TATAINVEST"""
"""Tata Metaliks Limited""","""TATAMETALI"""
"""Tata Motors Limited""","""TATAMOTORS"""
"""Tata Motors Limited""","""TATAMTRDVR"""
"""Tata Power Company Limited""","""TATAPOWER"""
"""Tata Sponge Iron Limited""","""TATASPONGE"""
"""Tata Steel Limited""","""TATASTEEL"""
"""Tribhovandas Bhimji Zaveri Limited""","""TBZ"""
"""Transport Corporation of India Limited""","""TCI"""
"""TCI Developers Limited""","""TCIDEVELOP"""
"""TCI Express Limited""","""TCIEXP"""
"""TCI Finance Limited""","""TCIFINANCE"""
"""Tata Consultancy Services Limited""","""TCS"""
"""TD Power Systems Limited""","""TDPOWERSYS"""
"""Teamlease Services Limited""","""TEAMLEASE"""
"""Techindia Nirman Limited""","""TECHIN"""
"""Tech Mahindra Limited""","""TECHM"""
"""Techno Electric & Engineering Company Limited""","""TECHNO"""
"""Technofab Engineering Limited""","""TECHNOFAB"""
"""Tejas Networks Limited""","""TEJASNET"""
"""Tera Software Limited""","""TERASOFT"""
"""Texmaco Infrastructure & Holdings Limited""","""TEXINFRA"""
"""Texmo Pipes and Products Limited""","""TEXMOPIPES"""
"""Texmaco Rail & Engineering Limited""","""TEXRAIL"""
"""Tourism Finance Corporation of India Limited""","""TFCILTD"""
"""Transwarranty Finance Limited""","""TFL"""
"""TGB Banquets And Hotels Limited""","""TGBHOTELS"""
"""Thangamayil Jewellery Limited""","""THANGAMAYL"""
"""Themis Medicare Limited""","""THEMISMED"""
"""Thermax Limited""","""THERMAX"""
"""Thiru Arooran Sugars Limited""","""THIRUSUGAR"""
"""Thomas Cook  (India)  Limited""","""THOMASCOOK"""
"""Thomas Scott (India) Limited""","""THOMASCOTT"""
"""Thyrocare Technologies Limited""","""THYROCARE"""
"""Tilaknagar Industries Limited""","""TI"""
"""Tide Water Oil Company (India) Limited""","""TIDEWATER"""
"""Technocraft Industries (India) Limited""","""TIIL"""
"""Tijaria Polypipes Limited""","""TIJARIA"""
"""TIL Limited""","""TIL"""
"""Times Guaranty Limited""","""TIMESGTY"""
"""Time Technoplast Limited""","""TIMETECHNO"""
"""Timken India Limited""","""TIMKEN"""
"""The Tinplate Company of India Limited""","""TINPLATE"""
"""TIPS Industries Limited""","""TIPSINDLTD"""
"""Thirumalai Chemicals Limited""","""TIRUMALCHM"""
"""Titan Company Limited""","""TITAN"""
"""The Mandhana Retail Ventures Limited""","""TMRVL"""
"""Tamilnadu PetroProducts Limited""","""TNPETRO"""
"""Tamil Nadu Newsprint & Papers Limited""","""TNPL"""
"""Tamilnadu Telecommunication Limited""","""TNTELE"""
"""Todays Writing Instruments Limited""","""TODAYS"""
"""Tokyo Plast International Limited""","""TOKYOPLAST"""
"""Torrent Pharmaceuticals Limited""","""TORNTPHARM"""
"""Torrent Power Limited""","""TORNTPOWER"""
"""TPL Plastech Limited""","""TPLPLASTEH"""
"""Tree House Education & Accessories Limited""","""TREEHOUSE"""
"""Trent Limited""","""TRENT"""
"""Trent Limited""","""TRENT"""
"""TRF Limited""","""TRF"""
"""Trident Limited""","""TRIDENT"""
"""Trigyn Technologies Limited""","""TRIGYN"""
"""Transformers And Rectifiers (India) Limited""","""TRIL"""
"""Triveni Turbine Limited""","""TRITURBINE"""
"""Triveni Engineering & Industries Limited""","""TRIVENI"""
"""TTK Healthcare Limited""","""TTKHLTCARE"""
"""TTK Prestige Limited""","""TTKPRESTIG"""
"""T T Limited""","""TTL"""
"""Tata Teleservices (Maharashtra) Limited""","""TTML"""
"""Tube Investments of India Limited""","""TUBEINVEST"""
"""Tulsi Extrusions Limited""","""TULSI"""
"""TV18 Broadcast Limited""","""TV18BRDCST"""
"""TVS Electronics Limited""","""TVSELECT"""
"""TVS Motor Company Limited""","""TVSMOTOR"""
"""TVS Srichakra Limited""","""TVSSRICHAK"""
"""TV Today Network Limited""","""TVTODAY"""
"""TV Vision Limited""","""TVVISION"""
"""Titagarh Wagons Limited""","""TWL"""
"""United Breweries (Holdings) Limited""","""UBHOLDINGS"""
"""United Breweries (Holdings) Limited""","""UBHOLDINGS"""
"""United Breweries Limited""","""UBL"""
"""Ucal Fuel Systems Limited""","""UCALFUEL"""
"""UCO Bank""","""UCOBANK"""
"""UFLEX Limited""","""UFLEX"""
"""UFO Moviez India Limited""","""UFO"""
"""The Ugar Sugar Works Limited""","""UGARSUGAR"""
"""Ujaas Energy Limited""","""UJAAS"""
"""Ujjivan Financial Services Limited""","""UJJIVAN"""
"""Ujjivan Financial Services Limited""","""UJJIVAN"""
"""UltraTech Cement Limited""","""ULTRACEMCO"""
"""Umang Dairies Limited""","""UMANGDAIRY"""
"""Usha Martin Education & Solutions Limited""","""UMESLTD"""
"""Unichem Laboratories Limited""","""UNICHEMLAB"""
"""Uniphos Enterprises Limited""","""UNIENTER"""
"""Union Bank of India""","""UNIONBANK"""
"""Uniply Industries Limited""","""UNIPLY"""
"""Unitech Limited""","""UNITECH"""
"""United Bank of India""","""UNITEDBNK"""
"""The United Nilgiri Tea Estates Company Limited""","""UNITEDTEA"""
"""Unity Infraprojects Limited""","""UNITY"""
"""Universal Cables Limited""","""UNIVCABLES"""
"""UPL Limited""","""UPL"""
"""Urja Global Limited""","""URJA"""
"""Usha Martin Limited""","""USHAMART"""
"""Usher Agro Limited""","""USHERAGRO"""
"""Uttam Galva Steels Limited""","""UTTAMSTL"""
"""Uttam Sugar Mills Limited""","""UTTAMSUGAR"""
"""Uttam Value Steels Limited""","""UVSL"""
"""V2 Retail Limited""","""V2RETAIL"""
"""Vadilal Industries Limited""","""VADILALIND"""
"""Vaibhav Global Limited""","""VAIBHAVGBL"""
"""Vakrangee Limited""","""VAKRANGEE"""
"""Value Industries Limited""","""VALUEIND"""
"""Vardhman Acrylics Limited""","""VARDHACRLC"""
"""Vardhman Polytex Limited""","""VARDMNPOLY"""
"""Vascon Engineers Limited""","""VASCONEQ"""
"""Vaswani Industries Limited""","""VASWANI"""
"""Varun Beverages Limited""","""VBL"""
"""Vedanta Limited""","""VEDL"""
"""Venky's (India) Limited""","""VENKEYS"""
"""Venus Remedies Limited""","""VENUSREM"""
"""Vesuvius India Limited""","""VESUVIUS"""
"""Veto Switchgears And Cables Limited""","""VETO"""
"""V-Guard Industries Limited""","""VGUARD"""
"""Vardhman Holdings Limited""","""VHL"""
"""Viceroy Hotels Limited""","""VICEROY"""
"""Videocon Industries Limited""","""VIDEOIND"""
"""Vidhi Specialty Food Ingredients Limited""","""VIDHIING"""
"""Vijaya Bank""","""VIJAYABANK"""
"""Vijay Shanthi Builders Limited""","""VIJSHAN"""
"""Vikas EcoTech Limited""","""VIKASECO"""
"""Vimal Oil & Foods Limited""","""VIMALOIL"""
"""Vimta Labs Limited""","""VIMTALABS"""
"""Vinati Organics Limited""","""VINATIORGA"""
"""Vindhya Telelinks Limited""","""VINDHYATEL"""
"""Vinyl Chemicals (India) Limited""","""VINYLINDIA"""
"""VIP Clothing Limited""","""VIPCLOTHNG"""
"""VIP Industries Limited""","""VIPIND"""
"""Vipul Limited""","""VIPULLTD"""
"""Visaka Industries Limited""","""VISAKAIND"""
"""Visa Steel Limited""","""VISASTEEL"""
"""Visa Steel Limited""","""VISASTEEL"""
"""Visesh Infotecnics Limited""","""VISESHINFO"""
"""Vishnu Chemicals Limited""","""VISHNU"""
"""Visagar Polytex Limited""","""VIVIDHA"""
"""Vivimed Labs Limited""","""VIVIMEDLAB"""
"""VLS Finance Limited""","""VLSFINANCE"""
"""V-Mart Retail Limited""","""VMART"""
"""Voltamp Transformers Limited""","""VOLTAMP"""
"""Voltamp Transformers Limited""","""VOLTAMP"""
"""Voltas Limited""","""VOLTAS"""
"""VRL Logistics Limited""","""VRLLOG"""
"""Vardhman Special Steels Limited""","""VSSL"""
"""VST Industries Limited""","""VSTIND"""
"""V.S.T Tillers Tractors Limited""","""VSTTILLERS"""
"""Vardhman Textiles Limited""","""VTL"""
"""VA Tech Wabag Limited""","""WABAG"""
"""WABCO India Limited""","""WABCOINDIA"""
"""Walchandnagar Industries Limited""","""WALCHANNAG"""
"""Wanbury Limited""","""WANBURY"""
"""Websol Energy System Limited""","""WEBELSOLAR"""
"""Weizmann Forex Limited""","""WEIZFOREX"""
"""Weizmann Limited""","""WEIZMANIND"""
"""Welspun Corp Limited""","""WELCORP"""
"""Welspun Enterprises Limited""","""WELENT"""
"""Welspun Investments and Commercials Limited""","""WELINV"""
"""Welspun India Limited""","""WELSPUNIND"""
"""Wendt (India) Limited""","""WENDT"""
"""Wheels India Limited""","""WHEELS"""
"""Whirlpool of India Limited""","""WHIRLPOOL"""
"""Williamson Magor & Company Limited""","""WILLAMAGOR"""
"""Windsor Machines Limited""","""WINDMACHIN"""
"""Winsome Yarns Limited""","""WINSOME"""
"""The Western India Plywoods Limited""","""WIPL"""
"""Wipro Limited""","""WIPRO"""
"""Wockhardt Limited""","""WOCKPHARMA"""
"""Wonderla Holidays Limited""","""WONDERLA"""
"""W S Industries (I) Limited""","""WSI"""
"""West Coast Paper Mills Limited""","""WSTCSTPAPR"""
"""Xchanging Solutions Limited""","""XCHANGING"""
"""XL Energy Limited""","""XLENERGY"""
"""Xpro India Limited""","""XPROINDIA"""
"""Yes Bank Limited""","""YESBANK"""
"""Zandu Realty Limited""","""ZANDUREALT"""
"""Zee Entertainment Enterprises Limited""","""ZEEL"""
"""Zee Learn Limited""","""ZEELEARN"""
"""Zee Media Corporation Limited""","""ZEEMEDIA"""
"""Zenith Birla (India) Limited""","""ZENITHBIR"""
"""Zenith Exports Limited""","""ZENITHEXPO"""
"""Zensar Technologies Limited""","""ZENSARTECH"""
"""Zen Technologies Limited""","""ZENTEC"""
"""Zicom Electronic Security Systems Limited""","""ZICOM"""
"""Zodiac Clothing Company Limited""","""ZODIACLOTH"""
"""Zodiac JRD- MKJ Limited""","""ZODJRDMKJ"""
"""Zuari Agro Chemicals Limited""","""ZUARI"""
"""Zuari Global Limited""","""ZUARIGLOB"""
"""Zydus Wellness Limited""","""ZYDUSWELL"""
"""Zylog Systems Limited""","""ZYLOG"""
